iter	Passed	Remaining
147	392	2261
148	394	2251
149	395	2238
150	396	2226
151	397	2215
152	398	2204
153	399	2192
154	400	2181
155	401	2170
156	402	2161
157	404	2153
158	405	2143
159	406	2134
160	407	2122
161	408	2111
162	409	2100
163	410	2090
164	411	2080
165	412	2073
166	413	2064
167	414	2054
168	415	2045
169	417	2037
170	418	2028
171	419	2020
172	421	2016
173	422	2007
174	423	1997
175	424	1989
176	425	1980
177	427	1974
178	428	1965
179	429	1956
180	430	1947
181	431	1938
182	432	1932
183	435	1931
184	436	1924
185	438	1916
186	438	1908
187	440	1902
188	441	1893
189	442	1885
190	443	1879
191	444	1871
192	445	1863
193	446	1855
194	447	1849
195	453	1860
196	454	1853
197	455	1846
198	456	1839
199	458	1833
200	459	1826
201	460	1818
202	461	1811
203	467	1824
204	469	1819
205	470	1812
206	471	1806
207	472	1798
208	473	1791
209	474	1784
210	475	1777
211	477	1774
212	479	1772
213	481	1769
214	484	1769
215	486	1764
216	487	1759
217	488	1752
218	489	1745
219	490	1738
220	491	1731
221	496	1741
222	498	1737
223	501	1736
224	502	1731
225	503	1725
226	505	1719
227	505	1713
228	506	1706
229	508	1700
230	511	1702
231	512	1696
232	514	1694
233	515	1688
234	516	1682
235	518	1677
236	519	1671
237	520	1665
238	521	1659
239	522	1655
240	527	1660
241	528	1656
242	529	1650
243	530	1645
244	532	1639
245	533	1634
246	534	1628
247	535	1622
248	536	1618
249	538	1614
250	541	1616
251	543	1611
252	543	1606
253	545	1600
254	546	1595
255	546	1589
256	547	1583
257	548	1578
258	551	1577
259	558	1590
260	561	1588
261	562	1584
262	563	1578
263	564	1573
264	565	1568
265	566	1563
266	570	1565
267	572	1562
268	573	1558
269	574	1553
270	575	1547
271	576	1541
272	576	1536
273	577	1530
274	578	1525
275	579	1520
276	580	1515
277	582	1513
278	585	1512
279	586	1508
280	587	1504
281	588	1499
282	589	1494
283	590	1489
284	591	1484
285	593	1480
286	593	1475
287	595	1471
288	600	1478
289	603	1476
290	604	1472
291	605	1468
292	606	1464
293	607	1459
294	608	1454
295	609	1450
296	612	1449
297	615	1449
298	616	1446
299	618	1443
300	619	1438
301	620	1434
302	621	1429
303	622	1424
304	623	1419
305	623	1415
306	625	1412
307	627	1410
308	629	1407
309	630	1403
310	631	1398
311	632	1394
312	633	1389
313	634	1385
314	635	1381
315	636	1377
316	636	1372
317	637	1368
318	638	1363
319	640	1360
320	641	1356
321	644	1356
322	645	1353
323	646	1349
324	647	1345
325	648	1340
326	649	1336
327	650	1332
328	651	1328
329	652	1324
330	653	1319
331	654	1315
332	655	1312
333	657	1311
334	659	1308
335	660	1304
336	661	1300
337	661	1296
338	662	1292
339	663	1288
340	664	1284
341	665	1280
342	666	1277
343	667	1273
344	670	1272
345	672	1271
346	677	1274
347	678	1270
348	679	1267
349	680	1263
350	681	1260
351	682	1257
352	684	1255
353	686	1252
354	689	1252
355	692	1252
356	694	1250
357	695	1246
358	696	1243
359	697	1240
360	704	1247
361	706	1245
362	708	1243
363	709	1240
364	711	1238
365	712	1234
366	715	1233
367	718	1233
368	722	1235
369	723	1232
370	725	1229
371	726	1226
372	727	1222
373	729	1220
374	730	1218
375	734	1219
376	736	1217
377	737	1214
378	739	1211
379	740	1207
380	741	1204
381	742	1200
382	747	1203
383	750	1203
384	751	1200
385	752	1197
386	754	1194
387	755	1191
388	756	1187
389	757	1184
390	759	1182
391	761	1181
392	764	1181
393	767	1180
394	782	1198
395	783	1195
396	784	1191
397	786	1189
398	787	1186
399	789	1184
400	791	1182
401	799	1188
402	801	1187
403	805	1187
404	809	1189
405	812	1188
406	815	1187
407	816	1184
408	817	1181
409	826	1189
410	827	1186
411	829	1183
412	830	1180
413	833	1179
414	840	1184
415	843	1183
416	844	1180
417	845	1176
418	846	1173
419	847	1170
420	848	1166
421	854	1169
422	856	1168
423	857	1164
424	858	1161
425	859	1157
426	860	1154
427	861	1151
428	862	1147
429	863	1144
430	864	1141
431	865	1138
432	868	1137
433	871	1136
434	872	1133
435	873	1130
436	874	1127
437	876	1124
438	877	1120
439	877	1117
440	879	1114
441	880	1111
442	884	1112
443	887	1111
444	888	1108
445	889	1105
446	890	1102
447	891	1099
448	898	1102
449	900	1100
450	903	1099
451	904	1096
452	905	1093
453	907	1091
454	909	1089
